dataset,image_name,class_name,count,avg_confidence
baseline,001.jpg,grozi_37,39,0.8694
baseline,001.jpg,grozi_68,120,0.7297
baseline,001.jpg,grozi_30,4,0.6349
baseline,001.jpg,grozi_62,1,0.7793
baseline,001.jpg,grozi_7,2,0.435
baseline,001.jpg,grozi_19,1,0.5488
baseline,001.jpg,grozi_94,1,0.4643
baseline,001.jpg,grozi_104,1,0.2822
baseline,002.jpg,grozi_55,2,0.748
baseline,002.jpg,grozi_118,6,0.6322
baseline,002.jpg,grozi_68,30,0.589
baseline,002.jpg,grozi_21,4,0.4423
baseline,002.jpg,grozi_89,2,0.7916
baseline,002.jpg,grozi_82,3,0.4358
baseline,002.jpg,grozi_19,2,0.4045
baseline,003.jpg,grozi_37,7,0.8983
baseline,003.jpg,grozi_31,1,0.9162
baseline,003.jpg,grozi_82,2,0.3592
baseline,003.jpg,grozi_68,1,0.4544
baseline,003.jpg,grozi_11,1,0.36
baseline,004.jpg,grozi_10,4,0.7226
baseline,004.jpg,grozi_21,2,0.7573
baseline,004.jpg,grozi_89,1,0.701
baseline,004.jpg,grozi_55,1,0.4488
baseline,004.jpg,grozi_82,1,0.4306
baseline,005.jpg,grozi_68,8,0.4631
baseline,005.jpg,grozi_37,5,0.4306
baseline,005.jpg,grozi_30,5,0.328
baseline,005.jpg,grozi_31,1,0.4207
baseline,005.jpg,grozi_19,2,0.2889
baseline,005.jpg,grozi_15,1,0.278
baseline,006.jpg,grozi_7,10,0.7712
baseline,006.jpg,grozi_118,2,0.6167
baseline,006.jpg,grozi_89,3,0.8673
baseline,006.jpg,grozi_30,4,0.6069
baseline,006.jpg,grozi_55,2,0.5448
baseline,006.jpg,grozi_68,4,0.5376
baseline,006.jpg,grozi_37,3,0.4595
baseline,006.jpg,grozi_19,2,0.3294
baseline,006.jpg,grozi_82,1,0.296
baseline,007.jpg,grozi_37,17,0.8982
baseline,007.jpg,grozi_89,3,0.6194
baseline,007.jpg,grozi_11,1,0.9359
baseline,007.jpg,grozi_30,3,0.6031
baseline,007.jpg,grozi_62,1,0.8536
baseline,007.jpg,grozi_68,10,0.4393
baseline,007.jpg,grozi_31,1,0.3646
baseline,007.jpg,grozi_24,1,0.3164
baseline,007.jpg,grozi_94,1,0.2507
baseline,008.jpg,grozi_21,1,0.6108
baseline,008.jpg,grozi_102,1,0.5205
baseline,008.jpg,grozi_10,1,0.4977
baseline,008.jpg,grozi_89,1,0.2888
baseline,008.jpg,grozi_55,1,0.2619
baseline,008.jpg,grozi_19,1,0.2505
baseline,009.jpg,grozi_21,5,0.6959
baseline,009.jpg,grozi_68,5,0.8645
baseline,009.jpg,grozi_118,1,0.7934
baseline,009.jpg,grozi_33,1,0.721
baseline,009.jpg,grozi_55,1,0.6554
baseline,009.jpg,grozi_19,1,0.5078
baseline,010.jpg,grozi_68,15,0.6672
baseline,010.jpg,grozi_89,2,0.5036
baseline,010.jpg,grozi_19,1,0.4881
baseline,010.jpg,grozi_31,1,0.3694
baseline,010.jpg,grozi_24,1,0.3242
baseline,010.jpg,grozi_10,1,0.2934
baseline,011.jpg,grozi_21,1,0.5571
baseline,011.jpg,grozi_89,2,0.3876
baseline,011.jpg,grozi_55,1,0.4866
baseline,012.jpg,grozi_10,4,0.8724
baseline,012.jpg,grozi_7,4,0.7442
baseline,012.jpg,grozi_68,5,0.6966
baseline,012.jpg,grozi_19,3,0.412
baseline,012.jpg,grozi_31,3,0.3379
baseline,012.jpg,grozi_30,1,0.2751
baseline,013.jpg,grozi_21,4,0.5329
baseline,013.jpg,grozi_82,1,0.4041
baseline,013.jpg,grozi_89,1,0.402
baseline,013.jpg,grozi_55,1,0.3975
baseline,013.jpg,grozi_33,1,0.2582
baseline,014.jpg,grozi_15,6,0.8034
baseline,014.jpg,grozi_21,1,0.8913
baseline,014.jpg,grozi_30,1,0.4533
baseline,014.jpg,grozi_11,1,0.4438
baseline,014.jpg,grozi_55,3,0.3159
baseline,014.jpg,grozi_115,1,0.2902
baseline,014.jpg,grozi_37,1,0.2787
baseline,014.jpg,grozi_89,1,0.2722
baseline,015.jpg,grozi_118,6,0.7541
baseline,015.jpg,grozi_21,6,0.5888
baseline,015.jpg,grozi_89,1,0.9718
baseline,015.jpg,grozi_55,3,0.6741
baseline,015.jpg,grozi_68,1,0.4438
baseline,015.jpg,grozi_82,1,0.2879
baseline,016.jpg,grozi_68,65,0.7537
baseline,016.jpg,grozi_21,4,0.8212
baseline,016.jpg,grozi_55,2,0.414
baseline,016.jpg,grozi_37,3,0.4062
baseline,016.jpg,grozi_89,1,0.3916
baseline,016.jpg,grozi_7,2,0.3051
baseline,016.jpg,grozi_30,1,0.325
baseline,017.jpg,grozi_15,6,0.592
baseline,017.jpg,grozi_37,1,0.7099
baseline,017.jpg,grozi_31,1,0.502
baseline,017.jpg,grozi_30,2,0.3034
baseline,017.jpg,grozi_68,3,0.2862
baseline,018.jpg,grozi_68,14,0.6268
baseline,018.jpg,grozi_15,2,0.5164
baseline,018.jpg,grozi_31,5,0.4419
baseline,018.jpg,grozi_37,6,0.3772
baseline,018.jpg,grozi_30,4,0.3571
baseline,018.jpg,grozi_7,1,0.3766
baseline,018.jpg,grozi_18,1,0.3487
baseline,018.jpg,grozi_29,1,0.3085
baseline,018.jpg,grozi_24,1,0.2822
baseline,018.jpg,grozi_113,1,0.2631
baseline,018.jpg,grozi_19,1,0.256
baseline,019.jpg,grozi_21,3,0.5189
baseline,019.jpg,grozi_102,1,0.4991
baseline,019.jpg,grozi_89,1,0.427
baseline,019.jpg,grozi_55,3,0.3326
baseline,019.jpg,grozi_68,2,0.3118
baseline,020.jpg,grozi_15,11,0.6037
baseline,020.jpg,grozi_37,6,0.7557
baseline,020.jpg,grozi_30,1,0.2918
baseline,021.jpg,grozi_10,5,0.8318
baseline,021.jpg,grozi_89,8,0.6064
baseline,021.jpg,grozi_37,6,0.7205
baseline,021.jpg,grozi_62,2,0.7841
baseline,021.jpg,grozi_7,5,0.522
baseline,021.jpg,grozi_68,5,0.5178
baseline,021.jpg,grozi_30,3,0.543
baseline,021.jpg,grozi_50,2,0.5321
baseline,021.jpg,grozi_21,1,0.4383
baseline,021.jpg,grozi_19,1,0.287
baseline,022.jpg,grozi_37,7,0.85
baseline,022.jpg,grozi_68,25,0.7537
baseline,022.jpg,grozi_30,1,0.9196
baseline,022.jpg,grozi_7,4,0.7801
baseline,022.jpg,grozi_89,3,0.5389
baseline,022.jpg,grozi_115,1,0.6899
baseline,022.jpg,grozi_10,2,0.6528
baseline,022.jpg,grozi_15,1,0.2656
baseline,023.jpg,grozi_68,85,0.7316
baseline,023.jpg,grozi_37,8,0.6976
baseline,023.jpg,grozi_7,14,0.5625
baseline,023.jpg,grozi_19,2,0.789
baseline,023.jpg,grozi_31,3,0.4862
baseline,023.jpg,grozi_30,7,0.3328
baseline,024.jpg,grozi_21,5,0.6373
baseline,024.jpg,grozi_55,1,0.8925
baseline,024.jpg,grozi_118,1,0.8478
baseline,024.jpg,grozi_68,8,0.3417
baseline,024.jpg,grozi_89,2,0.3257
baseline,024.jpg,grozi_19,1,0.2954
baseline,025.jpg,grozi_30,10,0.7212
baseline,025.jpg,grozi_37,2,0.7656
baseline,025.jpg,grozi_10,2,0.8762
baseline,025.jpg,grozi_68,9,0.5703
baseline,025.jpg,grozi_89,1,0.4046
baseline,025.jpg,grozi_15,1,0.3403
baseline,026.jpg,grozi_62,2,0.7222
baseline,026.jpg,grozi_30,1,0.9134
baseline,026.jpg,grozi_21,4,0.6262
baseline,026.jpg,grozi_55,1,0.7988
baseline,026.jpg,grozi_68,3,0.4493
baseline,026.jpg,grozi_89,5,0.5475
baseline,026.jpg,grozi_118,6,0.5456
baseline,026.jpg,grozi_37,1,0.4447
baseline,026.jpg,grozi_82,1,0.2738
baseline,027.jpg,grozi_31,3,0.5122
baseline,027.jpg,grozi_7,1,0.6347
baseline,027.jpg,grozi_10,1,0.5359
baseline,027.jpg,grozi_30,2,0.3626
baseline,027.jpg,grozi_15,1,0.4481
baseline,027.jpg,grozi_21,1,0.4372
baseline,027.jpg,grozi_68,1,0.3561
baseline,027.jpg,grozi_89,1,0.3167
baseline,027.jpg,grozi_37,2,0.2718
baseline,027.jpg,grozi_94,1,0.2772
baseline,028.jpg,grozi_37,43,0.9009
baseline,028.jpg,grozi_15,9,0.8141
baseline,028.jpg,grozi_30,2,0.6409
baseline,028.jpg,grozi_31,2,0.5581
baseline,028.jpg,grozi_113,1,0.5028
baseline,028.jpg,grozi_68,2,0.3768
baseline,029.jpg,grozi_68,64,0.7269
baseline,029.jpg,grozi_37,10,0.7178
baseline,029.jpg,grozi_89,4,0.7458
baseline,029.jpg,grozi_7,6,0.5813
baseline,029.jpg,grozi_10,5,0.5397
baseline,029.jpg,grozi_21,1,0.4099
baseline,029.jpg,grozi_115,1,0.3619
baseline,029.jpg,grozi_82,1,0.2767
baseline,030.jpg,grozi_37,20,0.8437
baseline,030.jpg,grozi_31,5,0.9285
baseline,030.jpg,grozi_12,1,0.8385
baseline,030.jpg,grozi_15,4,0.5212
baseline,030.jpg,grozi_30,1,0.5864
baseline,030.jpg,grozi_18,3,0.4626
baseline,030.jpg,grozi_89,1,0.2944
baseline,030.jpg,grozi_19,1,0.2892
baseline,031.jpg,grozi_21,2,0.4617
baseline,031.jpg,grozi_10,1,0.4993
baseline,031.jpg,grozi_89,3,0.3265
baseline,031.jpg,grozi_7,1,0.3286
baseline,031.jpg,grozi_118,1,0.3052
baseline,031.jpg,grozi_82,1,0.3022
baseline,032.jpg,grozi_68,41,0.6173
baseline,032.jpg,grozi_10,3,0.6481
baseline,032.jpg,grozi_37,4,0.4754
baseline,032.jpg,grozi_7,1,0.4784
baseline,032.jpg,grozi_30,1,0.3614
baseline,032.jpg,grozi_31,1,0.2764
baseline,032.jpg,grozi_89,1,0.2699
baseline,033.jpg,grozi_10,6,0.7209
baseline,033.jpg,grozi_21,2,0.5994
baseline,033.jpg,grozi_30,1,0.7424
baseline,033.jpg,grozi_7,1,0.7193
baseline,033.jpg,grozi_15,1,0.6499
baseline,033.jpg,grozi_55,1,0.5997
baseline,033.jpg,grozi_37,1,0.3975
baseline,033.jpg,grozi_82,1,0.377
baseline,033.jpg,grozi_68,1,0.3268
baseline,034.jpg,grozi_37,29,0.8782
baseline,034.jpg,grozi_15,2,0.8835
baseline,034.jpg,grozi_31,8,0.6223
baseline,034.jpg,grozi_64,1,0.5703
baseline,034.jpg,grozi_24,1,0.4318
baseline,035.jpg,grozi_10,4,0.7226
baseline,035.jpg,grozi_21,2,0.7573
baseline,035.jpg,grozi_89,1,0.701
baseline,035.jpg,grozi_55,1,0.4488
baseline,035.jpg,grozi_82,1,0.4306
baseline,036.jpg,grozi_68,93,0.7285
baseline,036.jpg,grozi_37,3,0.9655
